filename,n_instances
HUSC_1010.npy,5738
HUSC_5058.npy,4797
HCUV_4003.npy,4582
HUSC_0079.npy,4527
HUSC_0022.npy,4178
HCUV_5011.npy,4150
HUSC_5057.npy,3977
HUSC_0082.npy,3828
HUSC_1020.npy,3815
HUSC_5040.npy,3790
HCUV_1001.npy,3618
HCUV_3007.npy,3451
HUSC_1012.npy,3443
HUSC_4075.npy,3400
HUSC_0070.npy,3210
HCUV_5041.npy,3138
HCUV_5029.npy,3029
HUSC_5030.npy,2986
HUSC_5035.npy,2865
HUSC_1025.npy,2822
HUSC_5056.npy,2757
HUSC_5036.npy,2679
HUSC_5039.npy,2624
HUSC_5054.npy,2591
HUSC_1021.npy,2560
HUSC_3044.npy,2549
HUSC_1003.npy,2536
HUSC_1001.npy,2529
HUSC_4076.npy,2472
HCUV_5040.npy,2442
HUSC_1009.npy,2434
HUSC_3047.npy,2399
HCUV_4001.npy,2341
HUSC_5012.npy,2310
HCUV_0003.npy,2260
HUSC_0057.npy,2231
HUSC_3037.npy,2215
HCUV_4028.npy,2181
HUSC_1018.npy,2164
HCUV_2060.npy,2161
HUSC_5013.npy,2158
HUSC_5034.npy,2021
HUSC_1007.npy,2006
HUSC_3027.npy,1930
HCUV_5043.npy,1923
HCUV_4058.npy,1915
HUSC_4044.npy,1898
HCUV_1008.npy,1876
HUSC_5017.npy,1861
HUSC_3008.npy,1844
HUSC_4074.npy,1840
HCUV_1020.npy,1804
HCUV_4050.npy,1785
HCUV_5006.npy,1723
HCUV_4038.npy,1693
HCUV_5001.npy,1662
HCUV_5003.npy,1661
HUSC_3040.npy,1636
HUSC_4081.npy,1586
HCUV_1035.npy,1556
HUSC_3013.npy,1556
HUSC_1011.npy,1511
HCUV_5031.npy,1506
HUSC_4077.npy,1492
HCUV_5004.npy,1476
HCUV_3018.npy,1400
HUSC_5015.npy,1381
HUSC_3025.npy,1373
HUSC_3045.npy,1370
HCUV_3032.npy,1351
HUSC_0050.npy,1296
HUSC_5031.npy,1295
