exp_id,success,max_outer_it,max_inner_it,lr_weight,top_k,train_mismatch_rate,val_mismatch_rate,stage1_test_acc,stage1_test_auc,stage1_test_f1,stage2_test_acc,stage2_test_auc,stage2_test_f1,acc_improvement,auc_improvement,f1_improvement
gpu1_outer15_inner3_lr0.05_k4,True,15,3,0.05,4,41.95,41.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu2_outer15_inner3_lr0.05_k5,True,15,3,0.05,5,32.8,33.2,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu3_outer15_inner3_lr0.08_k3,True,15,3,0.08,3,48.4,47.0,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu0_outer15_inner3_lr0.05_k3,True,15,3,0.05,3,48.4,47.0,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu6_outer15_inner3_lr0.1_k3,True,15,3,0.1,3,48.4,47.0,0.998,0.9978,0.998,0.998,0.9985,0.998,0.0,0.0007000000000000339,0.0
gpu4_outer15_inner3_lr0.08_k4,True,15,3,0.08,4,41.95,41.0,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu7_outer15_inner3_lr0.1_k4,True,15,3,0.1,4,41.95,41.0,0.998,0.9978,0.998,0.998,0.9985,0.998,0.0,0.0007000000000000339,0.0
gpu5_outer15_inner3_lr0.08_k5,True,15,3,0.08,5,32.8,33.2,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu0_outer15_inner3_lr0.1_k5,True,15,3,0.1,5,32.8,33.2,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu1_outer15_inner5_lr0.05_k3,True,15,5,0.05,3,48.65,47.8,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu3_outer15_inner5_lr0.05_k5,True,15,5,0.05,5,34.05,31.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu2_outer15_inner5_lr0.05_k4,True,15,5,0.05,4,42.15,41.0,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu4_outer15_inner5_lr0.08_k3,True,15,5,0.08,3,48.65,47.8,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu5_outer15_inner5_lr0.08_k4,True,15,5,0.08,4,42.15,41.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu7_outer15_inner5_lr0.1_k3,True,15,5,0.1,3,48.65,47.8,0.998,0.9978,0.998,0.998,0.9986,0.998,0.0,0.0008000000000000229,0.0
gpu6_outer15_inner5_lr0.08_k5,True,15,5,0.08,5,34.05,31.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu0_outer15_inner5_lr0.1_k4,True,15,5,0.1,4,42.15,41.0,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu1_outer15_inner5_lr0.1_k5,True,15,5,0.1,5,34.05,31.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu3_outer15_inner7_lr0.05_k4,True,15,7,0.05,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu2_outer15_inner7_lr0.05_k3,True,15,7,0.05,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu4_outer15_inner7_lr0.05_k5,True,15,7,0.05,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu6_outer15_inner7_lr0.08_k4,True,15,7,0.08,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu5_outer15_inner7_lr0.08_k3,True,15,7,0.08,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu7_outer15_inner7_lr0.08_k5,True,15,7,0.08,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu0_outer15_inner7_lr0.1_k3,True,15,7,0.1,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu1_outer15_inner7_lr0.1_k4,True,15,7,0.1,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu3_outer20_inner3_lr0.05_k3,True,20,3,0.05,3,49.15,45.4,0.998,0.9978,0.998,0.998,0.9987,0.998,0.0,0.0009000000000000119,0.0
gpu4_outer20_inner3_lr0.05_k4,True,20,3,0.05,4,43.15,38.8,0.998,0.9978,0.998,0.998,0.9992,0.998,0.0,0.0013999999999999568,0.0
gpu5_outer20_inner3_lr0.05_k5,True,20,3,0.05,5,34.75,30.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu6_outer20_inner3_lr0.08_k3,True,20,3,0.08,3,49.15,45.4,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu2_outer15_inner7_lr0.1_k5,True,15,7,0.1,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9977,0.998,0.0,-9.999999999998899e-05,0.0
gpu7_outer20_inner3_lr0.08_k4,True,20,3,0.08,4,43.15,38.8,0.998,0.9978,0.998,0.998,0.9989,0.998,0.0,0.0010999999999999899,0.0
gpu0_outer20_inner3_lr0.08_k5,True,20,3,0.08,5,34.75,30.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu1_outer20_inner3_lr0.1_k3,True,20,3,0.1,3,49.15,45.4,0.998,0.9978,0.998,0.998,0.9987,0.998,0.0,0.0009000000000000119,0.0
gpu2_outer20_inner3_lr0.1_k4,True,20,3,0.1,4,43.15,38.8,0.998,0.9978,0.998,0.998,0.9989,0.998,0.0,0.0010999999999999899,0.0
gpu3_outer20_inner3_lr0.1_k5,True,20,3,0.1,5,34.75,30.2,0.998,0.9978,0.998,0.998,0.9988,0.998,0.0,0.0010000000000000009,0.0
gpu5_outer20_inner5_lr0.05_k4,True,20,5,0.05,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu7_outer20_inner5_lr0.08_k3,True,20,5,0.08,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9984,0.998,0.0,0.0005999999999999339,0.0
gpu0_outer20_inner5_lr0.08_k4,True,20,5,0.08,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9994,0.998,0.0,0.0015999999999999348,0.0
gpu2_outer20_inner5_lr0.1_k3,True,20,5,0.1,3,47.35,47.0,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
gpu1_outer20_inner5_lr0.08_k5,True,20,5,0.08,5,32.65,34.6,0.998,0.9978,0.998,0.998,0.9976,0.998,0.0,-0.00019999999999997797,0.0
gpu3_outer20_inner5_lr0.1_k4,True,20,5,0.1,4,41.75,40.8,0.998,0.9978,0.998,0.998,0.9996,0.998,0.0,0.0018000000000000238,0.0
